            OUT          Right           Left
2024 02 29 19 00       89.30       49.83       37.18
2024 02 29 20 00       89.26       49.95       36.88
2024 02 29 21 00       89.11       50.02       36.50
2024 02 29 22 00       88.98       50.15       36.12
2024 02 29 23 00       88.81       50.21       35.75
2024 03 01 00 00       88.55       50.19       35.37
2024 03 01 01 00       88.39       50.31       35.01
2024 03 01 02 00       88.20       50.42       34.63
2024 03 01 03 00       87.91       50.49       34.15
2024 03 01 04 00       87.65       50.56       33.74
2024 03 01 05 00       87.38       50.65       33.31
2024 03 01 06 00       87.13       50.74       32.91
2024 03 01 07 00       86.86       50.84       32.49
2024 03 01 08 00       86.57       50.93       32.05
2024 03 01 09 00       86.28       51.02       31.63
2024 03 01 10 00       85.90       50.97       31.22
2024 03 01 11 00       85.56       50.99       30.81
2024 03 01 12 00       85.25       51.04       30.40
2024 03 01 13 00       84.92       51.09       29.99
2024 03 01 14 00       84.56       51.12       29.55
2024 03 01 15 00       84.22       51.17       29.13
2024 03 01 16 00       83.87       51.23       28.70
2024 03 01 17 00       83.47       51.27       28.20
2024 03 01 18 00       82.99       51.27       27.66
2024 03 01 19 00       82.61       51.30       27.22
2024 03 01 20 00       82.24       51.35       26.79
2024 03 01 21 00       81.87       51.39       26.35
2024 03 01 22 00       81.47       51.43       25.89
2024 03 01 23 00       80.94       51.47       25.28
2024 03 02 00 00       80.30       51.50       24.56
2024 03 02 01 00       79.69       51.53       23.88
2024 03 02 02 00       79.23       51.55       23.38
2024 03 02 03 00       78.56       51.57       22.65
2024 03 02 04 00       78.12       51.58       22.19
2024 03 02 05 00       77.69       51.58       21.74
2024 03 02 06 00       77.27       51.58       21.31
2024 03 02 07 00       76.60       51.58       20.58
2024 03 02 08 00       76.05       51.57       20.00
2024 03 02 09 00       75.58       51.55       19.53
2024 03 02 10 00       75.17       51.52       19.14
2024 03 02 11 00       74.77       51.49       18.77
2024 03 02 12 00       74.37       51.45       18.41
2024 03 02 13 00       73.98       51.40       18.05
2024 03 02 14 00       73.60       51.35       17.63
2024 03 02 15 00       73.22       51.29       17.29
