            OUT          Right           Left
2024 04 30 17 00      180.60       70.71      103.73
2024 04 30 18 00      184.97       74.84      104.95
2024 04 30 19 00      187.05       75.90      106.03
2024 04 30 20 00      188.39       76.19      107.01
2024 04 30 21 00      189.15       75.96      107.80
2024 04 30 22 00      190.09       75.89      108.68
2024 04 30 23 00      190.99       75.90      109.46
2024 05 01 00 00      191.70       75.73      110.20
2024 05 01 01 00      192.76       75.66      111.31
2024 05 01 02 00      193.52       75.56      112.08
2024 05 01 03 00      194.36       75.47      112.94
2024 05 01 04 00      195.24       75.38      113.84
2024 05 01 05 00      195.97       75.26      114.62
2024 05 01 06 00      196.64       75.02      115.41
2024 05 01 07 00      197.19       74.73      116.15
2024 05 01 08 00      197.63       74.37      116.85
2024 05 01 09 00      198.13       74.11      117.51
2024 05 01 10 00      198.57       73.84      118.14
2024 05 01 11 00      198.98       73.58      118.73
2024 05 01 12 00      199.29       73.25      119.28
2024 05 01 13 00      199.57       72.90      119.80
2024 05 01 14 00      199.92       72.70      120.30
2024 05 01 15 00      200.30       72.54      120.77
2024 05 01 16 00      200.56       72.33      121.18
2024 05 01 17 00      202.71       74.02      121.88
2024 05 01 18 00      202.41       73.22      122.23
2024 05 01 19 00      202.77       73.00      122.73
2024 05 01 20 00      202.94       72.70      123.09
2024 05 01 21 00      203.07       72.40      123.42
2024 05 01 22 00      203.14       72.12      123.68
2024 05 01 23 00      203.13       71.85      123.85
2024 05 02 00 00      203.14       71.60      124.03
2024 05 02 01 00      203.07       71.35      124.14
2024 05 02 02 00      202.95       71.08      124.21
2024 05 02 03 00      202.76       70.81      124.21
2024 05 02 04 00      202.54       70.54      124.19
2024 05 02 05 00      202.26       70.28      124.10
2024 05 02 06 00      201.91       70.01      123.96
2024 05 02 07 00      201.50       69.73      123.76
2024 05 02 08 00      201.02       69.44      123.50
2024 05 02 09 00      200.48       69.15      123.18
2024 05 02 10 00      199.90       68.87      122.82
2024 05 02 11 00      199.20       68.52      122.40
2024 05 02 12 00      198.47       68.19      121.93
2024 05 02 13 00      197.72       67.93      121.40
2024 05 02 14 00      196.96       67.70      120.82
2024 05 02 15 00      196.20       67.43      120.31
2024 05 02 16 00      196.47       67.56      120.70
2024 05 02 17 00      199.63       70.52      121.66
2024 05 02 18 00      199.40       69.88      122.03
2024 05 02 19 00      199.46       69.54      122.34
2024 05 02 20 00      199.60       69.17      122.77
2024 05 02 21 00      200.26       69.53      123.16
2024 05 02 22 00      200.69       69.56      123.64
2024 05 02 23 00      201.21       69.63      124.13
2024 05 03 00 00      201.55       69.41      124.68
2024 05 03 01 00      201.88       69.16      125.25
2024 05 03 02 00      202.26       68.94      125.84
2024 05 03 03 00      202.64       68.69      126.46
2024 05 03 04 00      203.04       68.46      127.10
2024 05 03 05 00      203.47       68.24      127.74
2024 05 03 06 00      203.89       68.00      128.38
2024 05 03 07 00      204.28       67.74      129.03
2024 05 03 08 00      204.63       67.41      129.67
2024 05 03 09 00      204.97       67.10      130.29
2024 05 03 10 00      205.28       66.75      130.91
2024 05 03 11 00      205.59       66.42      131.53
2024 05 03 12 00      205.90       66.11      132.13
2024 05 03 13 00      206.21       65.81      132.71
2024 05 03 14 00      206.48       65.49      133.27
2024 05 03 15 00      206.74       65.19      133.80
2024 05 03 16 00      206.94       64.85      134.30
2024 05 03 17 00      207.15       64.54      134.79
2024 05 03 18 00      207.39       64.26      135.30
2024 05 03 19 00      207.55       63.96      135.73
2024 05 03 20 00      207.82       63.71      136.23
2024 05 03 21 00      208.44       63.56      137.03
2024 05 03 22 00      209.48       64.02      137.81
2024 05 03 23 00      214.22       68.08      139.50
2024 05 04 00 00      217.15       69.78      141.07
2024 05 04 01 00      219.92       70.98      142.71
2024 05 04 02 00      223.13       72.45      144.55
2024 05 04 03 00      225.95       73.39      146.41
2024 05 04 04 00      228.79       74.41      148.19
2024 05 04 05 00      231.39       75.24      149.88
2024 05 04 06 00      233.84       76.02      151.46
2024 05 04 07 00      238.35       78.40      153.71
2024 05 04 08 00      241.32       79.46      155.49
2024 05 04 09 00      243.95       80.38      157.03
2024 05 04 10 00      246.38       81.22      158.42
2024 05 04 11 00      248.70       82.19      159.60
2024 05 04 12 00      250.74       82.99      160.63
2024 05 04 13 00      252.66       83.82      161.52
2024 05 04 14 00      254.49       84.73      162.25
2024 05 04 15 00      256.22       85.57      162.91
2024 05 04 16 00      257.74       86.39      163.41
2024 05 04 17 00      259.12       87.19      163.78
2024 05 04 18 00      260.37       88.00      164.02
2024 05 04 19 00      261.50       88.82      164.13
2024 05 04 20 00      262.24       89.39      164.11
2024 05 04 21 00      263.15       90.19      164.02
2024 05 04 22 00      263.86       90.95      163.79
2024 05 04 23 00      264.50       91.69      163.49
2024 05 05 00 00      265.12       92.44      163.21
2024 05 05 01 00      265.82       93.26      162.94
2024 05 05 02 00      267.17       94.69      162.80
2024 05 05 03 00      267.39       95.01      162.46
2024 05 05 04 00      267.71       95.65      161.97
2024 05 05 05 00      267.81       96.16      161.39
2024 05 05 06 00      267.75       96.64      160.69
2024 05 05 07 00      267.53       97.06      159.88
2024 05 05 08 00      267.16       97.46      158.96
2024 05 05 09 00      266.59       97.75      157.96
2024 05 05 10 00      265.91       98.01      156.88
2024 05 05 11 00      265.10       98.32      155.64
2024 05 05 12 00      264.20       98.58      154.37
2024 05 05 13 00      263.05       98.69      153.01
2024 05 05 14 00      261.98       98.90      151.65
2024 05 05 15 00      260.79       99.07      150.21
2024 05 05 16 00      259.49       99.20      148.71
2024 05 05 17 00      258.04       99.24      147.15
2024 05 05 18 00      256.64       99.38      145.55
2024 05 05 19 00      255.08       99.30      143.99
2024 05 05 20 00      253.35       99.19      142.30
2024 05 05 21 00      251.55       98.97      140.64
2024 05 05 22 00      249.80       98.88      138.95
2024 05 05 23 00      248.07       98.82      137.28
2024 05 06 00 00      246.08       98.44      135.60
2024 05 06 01 00      244.21       98.34      133.84
2024 05 06 02 00      245.01      100.56      132.88
2024 05 06 03 00      245.95      102.64      132.17
2024 05 06 04 00      247.61      104.97      131.88
2024 05 06 05 00      246.91      104.55      131.56
2024 05 06 06 00      246.84      104.82      131.25
2024 05 06 07 00      246.46      104.80      130.89
2024 05 06 08 00      246.07      104.80      130.52
2024 05 06 09 00      245.74      104.83      130.18
2024 05 06 10 00      245.43      104.86      129.87
2024 05 06 11 00      245.10      104.87      129.57
2024 05 06 12 00      244.63      104.71      129.28
2024 05 06 13 00      244.42      104.72      129.09
2024 05 06 14 00      244.14      104.69      128.88
2024 05 06 15 00      243.91      104.63      128.73
2024 05 06 16 00      243.70      104.55      128.62
2024 05 06 17 00      243.50      104.48      128.52
2024 05 06 18 00      243.29      104.37      128.43
2024 05 06 19 00      243.07      104.22      128.37
2024 05 06 20 00      242.86      104.06      128.33
2024 05 06 21 00      242.67      103.93      128.30
2024 05 06 22 00      244.64      105.76      128.84
2024 05 06 23 00      245.42      105.94      129.51
2024 05 07 00 00      248.07      108.08      130.32
2024 05 07 01 00      247.96      107.32      130.80
2024 05 07 02 00      248.29      107.10      131.27
2024 05 07 03 00      248.51      106.78      131.72
2024 05 07 04 00      248.61      106.39      132.10
2024 05 07 05 00      248.61      106.02      132.39
2024 05 07 06 00      248.65      105.68      132.69
2024 05 07 07 00      248.58      105.31      132.91
2024 05 07 08 00      248.33      104.86      133.02
2024 05 07 09 00      248.00      104.41      133.06
2024 05 07 10 00      247.70      103.95      133.12
2024 05 07 11 00      247.28      103.51      133.07
2024 05 07 12 00      246.84      103.11      132.97
2024 05 07 13 00      246.27      102.67      132.78
2024 05 07 14 00      245.58      102.13      132.54
2024 05 07 15 00      244.89      101.65      132.27
2024 05 07 16 00      244.06      101.17      131.85
2024 05 07 17 00      243.17      100.64      131.43
2024 05 07 18 00      242.20      100.11      130.94
2024 05 07 19 00      241.17       99.60      130.37
2024 05 07 20 00      240.05       99.08      129.72
2024 05 07 21 00      238.81       98.53      128.97
2024 05 07 22 00      237.49       97.88      128.25
2024 05 07 23 00      236.16       97.32      127.45
2024 05 08 00 00      234.77       96.75      126.60
2024 05 08 01 00      233.32       96.18      125.70
2024 05 08 02 00      231.80       95.59      124.74
2024 05 08 03 00      230.22       95.00      123.73
2024 05 08 04 00      228.55       94.38      122.68
2024 05 08 05 00      226.82       93.74      121.58
2024 05 08 06 00      225.08       93.14      120.45
2024 05 08 07 00      223.28       92.53      119.26
2024 05 08 08 00      221.43       91.92      118.03
2024 05 08 09 00      219.55       91.31      116.79
2024 05 08 10 00      217.59       90.64      115.50
2024 05 08 11 00      215.61       90.01      114.17
2024 05 08 12 00      213.62       89.40      112.81
2024 05 08 13 00      211.62       88.78      111.48
2024 05 08 14 00      209.57       88.15      110.09
2024 05 08 15 00      207.49       87.53      108.66
2024 05 08 16 00      205.41       86.92      107.25
2024 05 08 17 00      203.30       86.31      105.79
2024 05 08 18 00      201.13       85.70      104.27
2024 05 08 19 00      198.99       85.10      102.62
2024 05 08 20 00      196.83       84.49      101.31
2024 05 08 21 00      194.65       83.89       99.80
2024 05 08 22 00      192.46       83.29       98.27
2024 05 08 23 00      190.22       82.69       96.69
2024 05 09 00 00      188.01       82.09       95.16
2024 05 09 01 00      185.79       81.48       93.62
2024 05 09 02 00      183.50       80.88       91.98
2024 05 09 03 00      181.25       80.28       90.40
2024 05 09 04 00      179.03       79.69       88.84
2024 05 09 05 00      176.73       79.09       87.22
2024 05 09 06 00      174.35       78.50       85.45
2024 05 09 07 00      172.09       77.91       83.88
2024 05 09 08 00      169.79       77.32       82.10
2024 05 09 09 00      167.25       76.73       80.28
2024 05 09 10 00      165.03       76.15       78.63
2024 05 09 11 00      162.79       75.56       77.15
2024 05 09 12 00      160.55       74.98       75.50
2024 05 09 13 00      158.34       74.40       74.02
2024 05 09 14 00      156.14       73.82       72.17
2024 05 09 15 00      153.96       73.24       70.97
2024 05 09 16 00      151.80       72.66       69.44
2024 05 09 17 00      149.68       72.09       68.03
2024 05 09 18 00      147.57       71.51       66.60
2024 05 09 19 00      145.47       70.88       65.18
2024 05 09 20 00      143.41       70.30       63.82
2024 05 09 21 00      141.37       69.72       62.42
2024 05 09 22 00      139.34       69.15       60.63
2024 05 09 23 00      137.32       68.58       59.46
2024 05 10 00 00      135.31       68.00       57.77
2024 05 10 01 00      133.36       67.43       56.13
2024 05 10 02 00      131.44       66.86       55.84
2024 05 10 03 00      129.51       66.30       53.90
2024 05 10 04 00      127.48       65.73       52.19
2024 05 10 05 00      125.52       65.16       50.92
2024 05 10 06 00      123.66       64.60       49.63
2024 05 10 07 00      121.86       64.04       48.32
2024 05 10 08 00      120.09       63.48       47.56
2024 05 10 09 00      118.26       62.91       46.04
2024 05 10 10 00      116.36       62.35       45.09
2024 05 10 11 00      114.55       61.80       43.76
2024 05 10 12 00      112.89       61.24       42.84
2024 05 10 13 00      111.27       60.68       41.86
2024 05 10 14 00      109.61       60.13       40.85
2024 05 10 15 00      108.07       59.58       38.98
2024 05 10 16 00      106.55       59.03       38.27
2024 05 10 17 00      105.05       58.48       37.60
2024 05 10 18 00      103.53       57.94       36.22
2024 05 10 19 00      102.01       57.39       36.29
2024 05 10 20 00      100.54       56.85       35.42
2024 05 10 21 00       99.10       56.31       34.63
2024 05 10 22 00       97.59       55.77       33.70
2024 05 10 23 00       96.17       55.23       31.95
2024 05 11 00 00       94.77       54.69       31.44
2024 05 11 01 00       93.36       54.16       30.86
2024 05 11 02 00       92.03       53.63       30.33
2024 05 11 03 00       90.69       53.10       29.77
2024 05 11 04 00       89.35       52.57       29.35
2024 05 11 05 00       87.66       52.04       28.27
2024 05 11 06 00       86.41       51.51       27.69
2024 05 11 07 00       84.98       50.99       26.87
2024 05 11 08 00       83.58       50.46       26.07
2024 05 11 09 00       82.34       49.94       25.41
2024 05 11 10 00       80.96       49.42       24.51
2024 05 11 11 00       79.45       48.90       23.45
2024 05 11 12 00       78.24       48.38       22.73
2024 05 11 13 00       77.10       47.87       22.06
2024 05 11 14 00       76.00       47.35       21.31
2024 05 11 15 00       74.91       46.84       20.07
2024 05 11 16 00       73.59       46.33       21.76
2024 05 11 17 00       72.47       45.82       21.84
2024 05 11 18 00       71.43       45.31       21.45
2024 05 11 19 00       70.41       44.80       21.03
2024 05 11 20 00       69.37       44.29       20.57
2024 05 11 21 00       68.26       43.78       20.08
2024 05 11 22 00       67.31       43.28       19.62
2024 05 11 23 00       66.37       42.78       19.31
2024 05 12 00 00       65.46       42.27       18.81
2024 05 12 01 00       64.54       41.77       18.57
2024 05 12 02 00       63.73       41.27       13.14
2024 05 12 03 00       62.81       40.78       12.48
2024 05 12 04 00       61.79       40.28       17.38
2024 05 12 05 00       61.06       39.79       11.97
2024 05 12 06 00       60.09       39.28       15.47
2024 05 12 07 00       59.30       38.82        9.90
2024 05 12 08 00       58.25       38.33       17.57
2024 05 12 09 00       57.63       37.84       11.93
2024 05 12 10 00       56.78       37.38       14.25
2024 05 12 11 00       55.94       36.89       15.17
2024 05 12 12 00       55.12       36.42       14.78
2024 05 12 13 00       54.31       35.95       14.78
2024 05 12 14 00       53.41       35.48       14.43
2024 05 12 15 00       52.64       35.01       14.35
2024 05 12 16 00       51.87       34.55       13.96
2024 05 12 17 00       50.99       34.09       15.47
2024 05 12 18 00       50.23       33.63       15.00
2024 05 12 19 00       49.51       33.18       14.55
2024 05 12 20 00       48.80       32.73       14.13
2024 05 12 21 00       48.10       32.28       13.72
2024 05 12 22 00       47.41       31.84       13.34
2024 05 12 23 00       46.74       31.40       12.91
2024 05 13 00 00       46.17       30.97        7.28
2024 05 13 01 00       45.48       30.54        7.33
2024 05 13 02 00       44.81       30.12        7.60
2024 05 13 03 00       44.13       29.70        7.52
2024 05 13 04 00       43.47       29.28        7.54
2024 05 13 05 00       42.83       28.88        7.59
2024 05 13 06 00       42.21       28.47        7.63
2024 05 13 07 00       41.59       28.08        7.67
2024 05 13 08 00       40.97       27.68        7.68
2024 05 13 09 00       40.36       27.30        7.73
2024 05 13 10 00       39.76       26.90        8.12
2024 05 13 11 00       39.17       26.50        8.19
2024 05 13 12 00       38.57       26.11        8.90
2024 05 13 13 00       37.97       25.72        8.75
2024 05 13 14 00       37.36       25.30        8.60
2024 05 13 15 00       36.77       24.90        8.46
2024 05 13 16 00       36.20       24.51        8.33
2024 05 13 17 00       35.64       24.13        8.21
2024 05 13 18 00       34.74       23.73        8.74
2024 05 13 19 00       34.06       23.30        8.46
2024 05 13 20 00       33.29       22.58        8.39
2024 05 13 21 00       32.20       21.56        8.20
2024 05 13 22 00       31.30       20.94        4.22
2024 05 13 23 00       30.20       20.38        8.35
2024 05 14 00 00       29.21       19.31        8.32
2024 05 14 01 00       28.38       18.69        8.24
2024 05 14 02 00       27.70       18.18        8.18
2024 05 14 03 00       26.65       17.24        8.02
2024 05 14 04 00       25.14       15.75        7.75
2024 05 14 05 00       24.18       14.81        7.59
2024 05 14 06 00       22.97       13.61        7.28
2024 05 14 07 00       22.01       12.88        6.05
2024 05 14 08 00       20.88       11.62        4.15
2024 05 14 09 00       20.12       10.94        4.05
2024 05 14 10 00       19.45       10.37        6.13
2024 05 14 11 00       18.48        9.75        5.99
2024 05 14 12 00       16.75        8.52        5.74
2024 05 14 13 00       16.00        7.83        5.59
2024 05 14 14 00       15.34        7.25        5.40
2024 05 14 15 00       14.28        6.19        5.22
2024 05 14 16 00       13.42        5.49        5.12
2024 05 14 17 00       13.01        5.27        5.04
2024 05 14 18 00       12.61        4.96        4.99
2024 05 14 19 00       11.27        4.35        3.67
2024 05 14 20 00       10.59        3.94        3.73
2024 05 14 21 00       10.19        3.78        3.74
2024 05 14 22 00        9.89        3.70        3.63
2024 05 14 23 00        9.59        3.63        3.51
